===== PLANILHA 1: CONHECIMENTO TEÓRICO - FUNDAMENTOS =====
Conceito,Categoria,Subcategoria,Nivel_Prerequisito,Conhecimento_Atual,Objetivo,Data_Estudo,Tempo_Investido_hrs,Fonte_Estudo,Notas
Tipos de Gráficos,Fundamentos,Terminologia Base,Nenhum,0,10,,,Livro/Video,5min/Diário/Semanal/Mensal
Tempos Gráficos,Fundamentos,Terminologia Base,Tipos de Gráficos,0,10,,,Livro/Video,Relação entre timeframes
Como Mercados Funcionam,Fundamentos,Terminologia Base,Nenhum,0,10,,,Livro/Video,Leilão de preços e probing
Definição Price Action,Fundamentos,Terminologia Base,Nenhum,0,10,,,Livro/Video,Leitura pura do preço
Pain Trade,Fundamentos,Terminologia Base,Definição Price Action,0,10,,,Livro/Video,Movimento que causa máxima dor
Média Móvel (MA),Fundamentos,Indicadores,Nenhum,0,10,,,Livro/Video,EMA 20 períodos padrão Al Brooks
Corpo da Barra,Fundamentos,Anatomia da Barra,Tipos de Gráficos,0,10,,,Livro/Video,Distância abertura-fechamento
Sombra da Barra,Fundamentos,Anatomia da Barra,Corpo da Barra,0,10,,,Livro/Video,Cauda superior e inferior
Máxima e Mínima,Fundamentos,Anatomia da Barra,Corpo da Barra,0,10,,,Livro/Video,Extremos da barra
Trend Bar,Fundamentos,Tipos de Barra,Corpo da Barra,0,10,,,Livro/Video,Corpo grande com fechamento perto extremo
Doji,Fundamentos,Tipos de Barra,Corpo da Barra,0,10,,,Livro/Video,Corpo pequeno indica indecisão
Inside Bar (i),Fundamentos,Tipos de Barra,Corpo da Barra,0,10,,,Livro/Video,Máxima/mínima dentro barra anterior
Outside Bar (o),Fundamentos,Tipos de Barra,Corpo da Barra,0,10,,,Livro/Video,Máxima/mínima engolfa barra anterior
Reversal Bar,Fundamentos,Tipos de Barra,Trend Bar,0,10,,,Livro/Video,Barra com sombra longa contrária
Barra Grande/Média/Pequena,Fundamentos,Tamanho de Barra,Corpo da Barra,0,10,,,Livro/Video,Relativo ao contexto recente
Barra de Tendência,Fundamentos,Classificação Funcional,Trend Bar,0,10,,,Livro/Video,Barra alinhada com tendência
Barra TR,Fundamentos,Classificação Funcional,Doji,0,10,,,Livro/Video,Barra de lateralidade
Barra de Sinal,Fundamentos,Classificação Funcional,Tipos de Barra,0,10,,,Livro/Video,Barra que precede entrada
Barra de Entrada,Fundamentos,Classificação Funcional,Barra de Sinal,0,10,,,Livro/Video,Onde executar ordem
Barra de Surpresa,Fundamentos,Classificação Funcional,Barra Grande,0,10,,,Livro/Video,Movimento inesperado forte
Barra de Desistência,Fundamentos,Classificação Funcional,Trend Bar,0,10,,,Livro/Video,Traders desistem da direção
Padrão ii (inside-inside),Fundamentos,Padrões de Barras,Inside Bar,0,10,,,Livro/Video,2 inside bars consecutivas - compressão
Padrão ioi,Fundamentos,Padrões de Barras,Inside/Outside Bar,0,10,,,Livro/Video,Inside-outside-inside
Padrão oo,Fundamentos,Padrões de Barras,Outside Bar,0,10,,,Livro/Video,2 outside bars consecutivas
Higher High (HH),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Máxima acima da anterior
Higher Low (HL),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Mínima acima da anterior
Lower High (LH),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Máxima abaixo da anterior
Lower Low (LL),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Mínima abaixo da anterior
Equal High (EH),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Máxima igual à anterior
Equal Low (EL),Fundamentos,Relação Entre Barras,Máxima e Mínima,0,10,,,Livro/Video,Mínima igual à anterior
Definição de Gap,Fundamentos,Gaps,Corpo da Barra,0,10,,,Livro/Video,Espaço entre barras
MAG (Moving Average Gap),Fundamentos,Tipos de Gap,Definição Gap e MA,0,10,,,Livro/Video,Gap entre preço e média móvel
EG (Exhaustion Gap),Fundamentos,Tipos de Gap,Definição Gap,0,10,,,Livro/Video,Gap de exaustão - reversão provável
MG (Measuring Gap),Fundamentos,Tipos de Gap,Definição Gap,0,10,,,Livro/Video,Gap de projeção - continuação
Gap de Corpo,Fundamentos,Tipos de Gap,Definição Gap,0,10,,,Livro/Video,Gap entre corpos das barras
Micro Gap,Fundamentos,Tipos de Gap,Definição Gap,0,10,,,Livro/Video,Gap minúsculo entre barras
Gap de Abertura,Fundamentos,Tipos de Gap,Definição Gap,0,10,,,Livro/Video,Gap na abertura do dia
Gap como Força,Fundamentos,Significado Gap,Tipos de Gap,0,10,,,Livro/Video,Indica pressão forte
Padrão Escada,Fundamentos,Significado Gap,MAG,0,10,,,Livro/Video,Série de gaps na mesma direção
