"Conceito","MacroCategoria","Categoria","Subcategoria","Modulo_Curso","Prerequisito","Conhecimento_Atual","Objetivo","Data_Estudo","Tempo_Investido_hrs","Fonte_Estudo","Regras_Operacionais","Probabilidade","Mercado_Aplicavel","Notas"
"Tipos de Gráficos","Fundamentos","Terminologia Base","Conceitos Iniciais","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","5min/Diário/Semanal/Mensal"
"Tempos Gráficos","Fundamentos","Terminologia Base","Conceitos Iniciais","01-07","Tipos de Gráficos","0","10","","","Livro/Video/Arvore","","","Universal","Relação entre timeframes"
"Como Mercados Funcionam","Fundamentos","Terminologia Base","Conceitos Iniciais","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Leilão de preços e probing"
"Definição Price Action","Fundamentos","Terminologia Base","Conceitos Iniciais","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Leitura pura do preço"
"Pain Trade","Fundamentos","Terminologia Base","Conceitos Iniciais","01-07","Definição Price Action","0","10","","","Livro/Video/Arvore","","","Universal","Movimento que causa máxima dor"
"Média Móvel (MA/EMA)","Fundamentos","Indicadores","Ferramentas","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","EMA 20 períodos padrão Al Brooks"
"Volume","Fundamentos","Indicadores","Ferramentas","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Confirmação de movimento"
"Notícias e Eventos","Fundamentos","Fundamentos","Influências Externas","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Fique fora durante notícias importantes"
"Mercado Forex","Fundamentos","Forex","Mercado Específico","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Forex","Visão geral do Forex"
"Sessões Forex","Fundamentos","Forex","Mercado Específico","01-07","Mercado Forex","0","10","","","Livro/Video/Arvore","","","Forex","Londres/NY/Ásia - sobreposição importante"
"Pip","Fundamentos","Forex","Terminologia Forex","01-07","Mercado Forex","0","10","","","Livro/Video/Arvore","","","Forex","Menor variação de preço no Forex"
"Pares de Moedas","Fundamentos","Forex","Terminologia Forex","01-07","Pip","0","10","","","Livro/Video/Arvore","","","Forex","EUR/USD, GBP/USD etc."
"Alavancagem Forex","Fundamentos","Forex","Terminologia Forex","01-07","Pares de Moedas","0","10","","","Livro/Video/Arvore","","","Forex","Risco amplificado"
"Margens","Fundamentos","Forex","Terminologia Forex","01-07","Alavancagem Forex","0","10","","","Livro/Video/Arvore","","","Forex","Depósito mínimo por posição"
"Futuros vs Forex","Fundamentos","Forex","Comparativo","01-07","Mercado Forex","0","10","","","Livro/Video/Arvore","","","Forex","Vantagens de cada mercado"
"Emini S&P 500","Fundamentos","Emini","Mercado Específico","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Emini","Contrato futuro mais líquido - referência Al Brooks"
"HFT (High Frequency Trading)","Fundamentos","Operando com Programas","Algoritmos","01-07","Nenhum","0","10","","","Livro/Video/Arvore","","","Universal","Operação de alta frequência - parte do mercado"
"Spoofing","Fundamentos","Operando com Programas","Algoritmos","01-07","HFT","0","10","","","Livro/Video/Arvore","","","Universal","Ordens falsas para manipular preço"
"Antecipação e HFTs","Fundamentos","Operando com Programas","Algoritmos","01-07","HFT","0","10","","","Livro/Video/Arvore","","","Universal","HFTs antecipam ordens grandes"
"Corpo da Barra","Fundamentos","Anatomia da Barra","Estrutura","01-07","Tipos de Gráficos","0","10","","","Livro/Video/Arvore","","","Universal","Distância abertura-fechamento"
"Sombra da Barra","Fundamentos","Anatomia da Barra","Estrutura","01-07","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Cauda superior e inferior"
"Máxima e Mínima","Fundamentos","Anatomia da Barra","Estrutura","01-07","Corpo da Barra","0","10","","","Livro/Video/Arvore","","","Universal","Extremos da barra"
